di_A1	dw_Wednesday	m_Jun	110	0.00120957543902	0.0807635829662
di_A1	dw_Wednesday	m_May	147	0.00161643263215	0.107929515419
di_A1	dw_Wednesday	m_Oct	141	0.00155045579002	0.103524229075
di_A1	dw_Wednesday	m_Sep	116	0.00127555228115	0.0851688693098
di_A1	dw_Wednesday	ra_111	104	0.00114359859689	0.0763582966226
di_A1	hr_0	dw_Saturday	100	0.00109961403547	0.201207243461
di_A1	hr_12	dw_Friday	101	0.00111061017583	0.174137931034
di_A1	hr_18	dw_Thursday	111	0.00122057157938	0.174528301887
di_A1	hr_18	dw_Tuesday	103	0.00113260245654	0.161949685535
di_A1	hr_18	dw_Wednesday	103	0.00113260245654	0.161949685535
di_A1	hr_1	dw_Saturday	114	0.00125356000044	0.262068965517
di_A1	hr_1	dw_Sunday	130	0.00142949824612	0.298850574713
di_A1	hr_2	dw_Saturday	106	0.0011655908776	0.329192546584
di_A1	hr_2	dw_Sunday	126	0.0013855136847	0.391304347826
di_A1	m_Apr	dw_Friday	117	0.0012865484215	0.146984924623
di_A1	m_Apr	dw_Monday	125	0.00137451754434	0.157035175879
di_A1	m_Apr	dw_Saturday	133	0.00146248666718	0.167085427136
di_A1	m_Apr	dw_Sunday	103	0.00113260245654	0.129396984925
di_A1	m_Apr	dw_Tuesday	112	0.00123156771973	0.140703517588
di_A1	m_Apr	dw_Wednesday	110	0.00120957543902	0.138190954774
di_A1	m_Aug	dw_Friday	162	0.00178137473747	0.181208053691
di_A1	m_Aug	dw_Saturday	142	0.00156145193037	0.158836689038
di_A1	m_Aug	dw_Thursday	128	0.00140750596541	0.143176733781
di_A1	m_Aug	dw_Tuesday	113	0.00124256386009	0.126398210291
di_A1	m_Aug	dw_Wednesday	152	0.00167141333392	0.170022371365
di_A1	m_Dec	dw_Friday	116	0.00127555228115	0.159779614325
di_A1	m_Dec	dw_Monday	114	0.00125356000044	0.157024793388
di_A1	m_Dec	dw_Saturday	113	0.00124256386009	0.15564738292
di_A1	m_Dec	dw_Sunday	120	0.00131953684257	0.165289256198
di_A1	m_Dec	dw_Wednesday	103	0.00113260245654	0.141873278237
di_A1	m_Feb	dw_Friday	105	0.00115459473725	0.149786019971
di_A1	m_Feb	dw_Thursday	120	0.00131953684257	0.171184022825
di_A1	m_Feb	dw_Tuesday	100	0.00109961403547	0.142653352354
di_A1	m_Jan	dw_Friday	102	0.00112160631618	0.131612903226
di_A1	m_Jan	dw_Monday	132	0.00145149052683	0.170322580645
di_A1	m_Jan	dw_Saturday	100	0.00109961403547	0.129032258065
di_A1	m_Jan	dw_Sunday	101	0.00111061017583	0.130322580645
di_A1	m_Jan	dw_Tuesday	125	0.00137451754434	0.161290322581
di_A1	m_Jan	dw_Wednesday	129	0.00141850210576	0.166451612903
di_A1	m_Jul	dw_Friday	139	0.00152846350931	0.153761061947
di_A1	m_Jul	dw_Monday	147	0.00161643263215	0.162610619469
di_A1	m_Jul	dw_Saturday	135	0.00148447894789	0.149336283186
di_A1	m_Jul	dw_Sunday	131	0.00144049438647	0.144911504425
di_A1	m_Jul	dw_Thursday	118	0.00129754456186	0.130530973451
di_A1	m_Jul	dw_Tuesday	145	0.00159444035144	0.160398230088
di_A1	m_Jun	dw_Friday	159	0.0017483863164	0.199248120301
di_A1	m_Jun	dw_Monday	102	0.00112160631618	0.127819548872
di_A1	m_Jun	dw_Saturday	154	0.00169340561463	0.19298245614
di_A1	m_Jun	dw_Thursday	109	0.00119857929867	0.136591478697
di_A1	m_Jun	dw_Wednesday	110	0.00120957543902	0.137844611529
di_A1	m_Mar	dw_Friday	120	0.00131953684257	0.159786950732
di_A1	m_Mar	dw_Saturday	151	0.00166041719357	0.201065246338
di_A1	m_Mar	dw_Sunday	109	0.00119857929867	0.145139813582
di_A1	m_Mar	dw_Thursday	105	0.00115459473725	0.139813581891
di_A1	m_Mar	dw_Tuesday	101	0.00111061017583	0.1344873502
di_A1	m_May	dw_Friday	111	0.00122057157938	0.124300111982
di_A1	m_May	dw_Monday	114	0.00125356000044	0.127659574468
di_A1	m_May	dw_Saturday	121	0.00133053298292	0.135498320269
di_A1	m_May	dw_Sunday	112	0.00123156771973	0.125419932811
di_A1	m_May	dw_Thursday	161	0.00177037859711	0.180291153415
di_A1	m_May	dw_Tuesday	127	0.00139650982505	0.142217245241
di_A1	m_May	dw_Wednesday	147	0.00161643263215	0.164613661814
di_A1	m_Nov	dw_Friday	102	0.00112160631618	0.139344262295
di_A1	m_Nov	dw_Saturday	121	0.00133053298292	0.165300546448
di_A1	m_Nov	dw_Sunday	124	0.00136352140399	0.169398907104
di_A1	m_Nov	dw_Thursday	114	0.00125356000044	0.155737704918
di_A1	m_Oct	dw_Monday	127	0.00139650982505	0.15011820331
di_A1	m_Oct	dw_Saturday	134	0.00147348280753	0.158392434988
di_A1	m_Oct	dw_Sunday	112	0.00123156771973	0.132387706856
di_A1	m_Oct	dw_Thursday	111	0.00122057157938	0.131205673759
di_A1	m_Oct	dw_Tuesday	127	0.00139650982505	0.15011820331
di_A1	m_Oct	dw_Wednesday	141	0.00155045579002	0.166666666667
di_A1	m_Sep	dw_Friday	114	0.00125356000044	0.135714285714
di_A1	m_Sep	dw_Monday	102	0.00112160631618	0.121428571429
di_A1	m_Sep	dw_Saturday	158	0.00173739017605	0.188095238095
di_A1	m_Sep	dw_Sunday	135	0.00148447894789	0.160714285714
di_A1	m_Sep	dw_Thursday	109	0.00119857929867	0.129761904762
di_A1	m_Sep	dw_Tuesday	106	0.0011655908776	0.12619047619
di_A1	m_Sep	dw_Wednesday	116	0.00127555228115	0.138095238095
di_A1	of_3114	ra_61	128	0.00140750596541	0.313725490196
di_A1	of_3201	dw_Saturday	107	0.00117658701796	0.191413237925
di_A1	of_613	ra_94	129	0.00141850210576	0.260606060606
di_A1	of_613	st_FANEUIL_HALL_MARKETPLACE	105	0.00115459473725	0.212121212121
di_A1	of_613	st_WASHINGTON_ST	135	0.00148447894789	0.272727272727
di_A1	of_802	dw_Saturday	134	0.00147348280753	0.206153846154
di_A1	of_802	dw_Sunday	133	0.00146248666718	0.204615384615
di_A1	ra_102	st_WINTER_ST	116	0.00127555228115	0.449612403101
di_A1	ra_111	dw_Friday	105	0.00115459473725	0.151296829971
di_A1	ra_111	dw_Monday	110	0.00120957543902	0.158501440922
di_A1	ra_111	dw_Thursday	102	0.00112160631618	0.146974063401
di_A1	ra_111	dw_Tuesday	103	0.00113260245654	0.148414985591
di_A1	ra_111	dw_Wednesday	104	0.00114359859689	0.149855907781
di_A1	ra_111	st_TREMONT_ST	198	0.00217723579024	0.28530259366
di_A1	ra_111	st_WASHINGTON_ST	170	0.00186934386031	0.244956772334
di_A1	ra_112	st_WASHINGTON_ST	181	0.00199030140421	0.543543543544
di_A1	ra_117	st_HARRISON_AVE	102	0.00112160631618	0.227171492205
di_A1	ra_119	st_TREMONT_ST	140	0.00153945964966	0.721649484536
di_A1	ra_61	of_3114	128	0.00140750596541	0.393846153846
di_A1	ra_61	st_LEGENDS_WAY	179	0.0019683091235	0.550769230769
di_A1	ra_63	st_NEW_SUDBURY_ST	180	0.00197930526385	0.692307692308
di_A1	ra_76	st_CANAL_ST	114	0.00125356000044	0.651428571429
di_A1	ra_92	st_COURT_ST	105	0.00115459473725	0.583333333333
di_A1	ra_94	of_613	129	0.00141850210576	0.358333333333
di_A1	ra_94	st_FANEUIL_HALL_MARKETPLACE	139	0.00152846350931	0.386111111111
di_A1	st_CANAL_ST	ra_76	114	0.00125356000044	0.883720930233
di_A1	st_COURT_ST	ra_92	105	0.00115459473725	0.913043478261
di_A1	st_FANEUIL_HALL_MARKETPLACE	of_613	105	0.00115459473725	0.530303030303
di_A1	st_FANEUIL_HALL_MARKETPLACE	ra_94	139	0.00152846350931	0.70202020202
di_A1	st_HARRISON_AVE	ra_117	102	0.00112160631618	0.4
di_A1	st_LEGENDS_WAY	ra_61	179	0.0019683091235	1.0
di_A1	st_NEW_SUDBURY_ST	ra_63	180	0.00197930526385	0.810810810811
di_A1	st_TREMONT_ST	dw_Monday	100	0.00109961403547	0.174520069808
di_A1	st_TREMONT_ST	dw_Saturday	110	0.00120957543902	0.191972076789
di_A1	st_TREMONT_ST	ra_111	198	0.00217723579024	0.34554973822
di_A1	st_TREMONT_ST	ra_119	140	0.00153945964966	0.244328097731
di_A1	st_WASHINGTON_ST	dw_Friday	117	0.0012865484215	0.14980793854
di_A1	st_WASHINGTON_ST	dw_Monday	111	0.00122057157938	0.142125480154
di_A1	st_WASHINGTON_ST	dw_Saturday	111	0.00122057157938	0.142125480154
di_A1	st_WASHINGTON_ST	dw_Sunday	113	0.00124256386009	0.144686299616
di_A1	st_WASHINGTON_ST	dw_Tuesday	137	0.0015064712286	0.175416133163
di_A1	st_WASHINGTON_ST	of_613	135	0.00148447894789	0.1728553137
di_A1	st_WASHINGTON_ST	ra_111	170	0.00186934386031	0.217669654289
di_A1	st_WASHINGTON_ST	ra_112	181	0.00199030140421	0.231754161332
di_A1	st_WINTER_ST	ra_102	116	0.00127555228115	0.640883977901
di_A7	ra_26	st_BORDER_ST	262	0.00288098877294	0.552742616034
di_A7	ra_26	st_MERIDIAN_ST	117	0.0012865484215	0.246835443038
di_A7	st_BORDER_ST	ra_26	262	0.00288098877294	0.891156462585
di_A7	st_MERIDIAN_ST	ra_26	117	0.0012865484215	0.639344262295
di_B2	dw_Friday	hr_10	134	0.00147348280753	0.0614397065566
di_B2	dw_Friday	hr_11	120	0.00131953684257	0.0550206327373
di_B2	dw_Friday	hr_12	132	0.00145149052683	0.060522696011
di_B2	dw_Friday	hr_13	104	0.00114359859689	0.0476845483723
di_B2	dw_Friday	hr_14	127	0.00139650982505	0.058230169647
di_B2	dw_Friday	hr_15	131	0.00144049438647	0.0600641907382
di_B2	dw_Friday	hr_16	126	0.0013855136847	0.0577716643741
di_B2	dw_Friday	hr_17	133	0.00146248666718	0.0609812012838
di_B2	dw_Friday	hr_18	114	0.00125356000044	0.0522696011004
di_B2	dw_Friday	hr_19	123	0.00135252526363	0.0563961485557
di_B2	dw_Friday	hr_21	110	0.00120957543902	0.0504355800092
di_B2	dw_Friday	hr_22	102	0.00112160631618	0.0467675378267
di_B2	dw_Friday	m_Apr	162	0.00178137473747	0.0742778541953
di_B2	dw_Friday	m_Aug	233	0.00256210070265	0.106831728565
di_B2	dw_Friday	m_Dec	161	0.00177037859711	0.0738193489225
di_B2	dw_Friday	m_Feb	139	0.00152846350931	0.0637322329207
di_B2	dw_Friday	m_Jan	149	0.00163842491286	0.0683172856488
di_B2	dw_Friday	m_Jul	156	0.00171539789534	0.0715268225585
di_B2	dw_Friday	m_Jun	225	0.00247413157982	0.103163686382
